Club,Position,Probability,Cumulative
Vila Nova / GO,3,0.191607,0.8292550000000001
Mirassol / SP,3,0.00749,0.9976099999999999
Guarani / SP,3,0.035723,0.982197
Ceará / CE,3,0.000917,0.9998009999999999
Atlético / GO,3,0.000264,0.9999439999999999
Vitória / BA,3,0.230446,0.6356310000000001
CRB / AL,3,0.0002,0.99995
Botafogo / SP,3,6.2e-05,0.999988
Sport / PE,3,0.137368,0.25839599999999996
Juventude / RS,3,0.083893,0.944991
Criciúma / SC,3,0.107148,0.920403
Novorizontino / SP,3,0.204882,0.431835
Botafogo / SP,2,1e-05,0.9999979999999999
Ceará / CE,2,0.000182,0.999983
Ituano / SP,2,1e-06,1.0
Vitória / BA,2,0.210794,0.846425
Atlético / GO,2,5.2e-05,0.999996
Juventude / RS,2,0.040511,0.985502
Guarani / SP,2,0.013987,0.996184
Sport / PE,2,0.257934,0.51633
Mirassol / SP,2,0.001989,0.9995989999999999
Novorizontino / SP,2,0.298445,0.73028
Criciúma / SC,2,0.056719,0.9771219999999999
CRB / AL,2,4.4e-05,0.999994
Vila Nova / GO,2,0.119332,0.9485870000000001
Mirassol / SP,1,0.000401,0.9999999999999999
CRB / AL,1,6e-06,1.0
Vila Nova / GO,1,0.051413,1.0
Ceará / CE,1,1.7e-05,1.0
Botafogo / SP,1,2e-06,1.0
Criciúma / SC,1,0.022878,1.0
Guarani / SP,1,0.003816,1.0
Sport / PE,1,0.48367,1.0
Novorizontino / SP,1,0.26972,1.0
Vitória / BA,1,0.153575,1.0
Atlético / GO,1,4e-06,1.0
Juventude / RS,1,0.014498,1.0
