Player,Club,Championship,Date
170255,Bahia / BA,CdB,15/05/2013
153030,Bahia / BA,CdB,15/05/2013
188453,Bahia / BA,CdB,15/05/2013
344704,Bahia / BA,CdB,15/05/2013
292443,Bahia / BA,CdB,15/05/2013
190431,Bahia / BA,CdB,15/05/2013
363566,Bahia / BA,CdB,15/05/2013
185015,Bahia / BA,CdB,15/05/2013
130969,Bahia / BA,CdB,15/05/2013
321829,Bahia / BA,CdB,15/05/2013
181172,Luverdense / MT,CdB,15/05/2013
168916,Luverdense / MT,CdB,15/05/2013
136391,Luverdense / MT,CdB,15/05/2013
184460,Luverdense / MT,CdB,15/05/2013
145593,Luverdense / MT,CdB,15/05/2013
296117,Luverdense / MT,CdB,15/05/2013
162890,Luverdense / MT,CdB,15/05/2013
177093,Luverdense / MT,CdB,15/05/2013
177543,Luverdense / MT,CdB,15/05/2013
151167,Luverdense / MT,CdB,15/05/2013
130641,Luverdense / MT,CdB,15/05/2013
162897,Bahia / BA,CdB,15/05/2013
190389,Bahia / BA,CdB,15/05/2013
365764,Luverdense / MT,CdB,15/05/2013
152447,Luverdense / MT,CdB,15/05/2013
172714,Bahia / BA,CdB,15/05/2013
338457,Luverdense / MT,CdB,15/05/2013
168641,Fortaleza / CE,CdB,23/05/2013
190271,Fortaleza / CE,CdB,23/05/2013
139359,Fortaleza / CE,CdB,23/05/2013
138518,Fortaleza / CE,CdB,23/05/2013
156029,Fortaleza / CE,CdB,23/05/2013
130094,Fortaleza / CE,CdB,23/05/2013
174755,Fortaleza / CE,CdB,23/05/2013
150858,Fortaleza / CE,CdB,23/05/2013
142661,Fortaleza / CE,CdB,23/05/2013
299925,Fortaleza / CE,CdB,23/05/2013
164396,Fortaleza / CE,CdB,23/05/2013
160031,Confiança / SE,CdB,23/05/2013
188381,Confiança / SE,CdB,23/05/2013
173157,Confiança / SE,CdB,23/05/2013
118128,Confiança / SE,CdB,23/05/2013
177914,Confiança / SE,CdB,23/05/2013
372006,Confiança / SE,CdB,23/05/2013
174119,Confiança / SE,CdB,23/05/2013
328312,Confiança / SE,CdB,23/05/2013
300824,Confiança / SE,CdB,23/05/2013
328087,Confiança / SE,CdB,23/05/2013
155907,Confiança / SE,CdB,23/05/2013
332261,Fortaleza / CE,CdB,23/05/2013
326990,Confiança / SE,CdB,23/05/2013
303021,Fortaleza / CE,CdB,23/05/2013
156180,Confiança / SE,CdB,23/05/2013
341025,Fortaleza / CE,CdB,23/05/2013
155566,ASA / AL,CdB,10/07/2013
138020,ASA / AL,CdB,10/07/2013
168982,ASA / AL,CdB,10/07/2013
145757,ASA / AL,CdB,10/07/2013
184798,ASA / AL,CdB,10/07/2013
140020,ASA / AL,CdB,10/07/2013
154090,ASA / AL,CdB,10/07/2013
167435,ASA / AL,CdB,10/07/2013
181285,ASA / AL,CdB,10/07/2013
369596,ASA / AL,CdB,10/07/2013
361147,ASA / AL,CdB,10/07/2013
166649,Flamengo / RJ,CdB,10/07/2013
166989,Flamengo / RJ,CdB,10/07/2013
137644,Flamengo / RJ,CdB,10/07/2013
141698,Flamengo / RJ,CdB,10/07/2013
159607,Flamengo / RJ,CdB,10/07/2013
402537,Flamengo / RJ,CdB,10/07/2013
419387,Flamengo / RJ,CdB,10/07/2013
172142,Flamengo / RJ,CdB,10/07/2013
155855,Flamengo / RJ,CdB,10/07/2013
185974,Flamengo / RJ,CdB,10/07/2013
307097,Flamengo / RJ,CdB,10/07/2013
330660,Flamengo / RJ,CdB,10/07/2013
166274,Flamengo / RJ,CdB,10/07/2013
305917,ASA / AL,CdB,10/07/2013
370426,ASA / AL,CdB,10/07/2013
147312,ASA / AL,CdB,10/07/2013
293501,Flamengo / RJ,CdB,10/07/2013
151437,Internacional / RS,CdB,10/07/2013
419995,Internacional / RS,CdB,10/07/2013
123208,Internacional / RS,CdB,10/07/2013
165925,Internacional / RS,CdB,10/07/2013
145180,Internacional / RS,CdB,10/07/2013
132420,Internacional / RS,CdB,10/07/2013
402208,Internacional / RS,CdB,10/07/2013
299142,Internacional / RS,CdB,10/07/2013
168939,Internacional / RS,CdB,10/07/2013
299481,Internacional / RS,CdB,10/07/2013
123816,Internacional / RS,CdB,10/07/2013
330966,América / MG,CdB,10/07/2013
300140,América / MG,CdB,10/07/2013
313755,América / MG,CdB,10/07/2013
306822,América / MG,CdB,10/07/2013
176738,América / MG,CdB,10/07/2013
177911,América / MG,CdB,10/07/2013
167214,América / MG,CdB,10/07/2013
306616,América / MG,CdB,10/07/2013
178723,América / MG,CdB,10/07/2013
177885,América / MG,CdB,10/07/2013
323643,América / MG,CdB,10/07/2013
157710,América / MG,CdB,10/07/2013
153189,Internacional / RS,CdB,10/07/2013
310711,América / MG,CdB,10/07/2013
311439,Internacional / RS,CdB,10/07/2013
320961,Internacional / RS,CdB,10/07/2013
319054,América / MG,CdB,10/07/2013
341055,Goiás / GO,CdB,03/07/2013
302795,Goiás / GO,CdB,03/07/2013
291317,Goiás / GO,CdB,03/07/2013
179832,Goiás / GO,CdB,03/07/2013
137340,Goiás / GO,CdB,03/07/2013
155703,Goiás / GO,CdB,03/07/2013
169939,Goiás / GO,CdB,03/07/2013
138056,Goiás / GO,CdB,03/07/2013
178684,Goiás / GO,CdB,03/07/2013
178875,Goiás / GO,CdB,03/07/2013
353262,Goiás / GO,CdB,03/07/2013
176981,ABC / RN,CdB,03/07/2013
150708,ABC / RN,CdB,03/07/2013
164444,ABC / RN,CdB,03/07/2013
172014,ABC / RN,CdB,03/07/2013
180253,ABC / RN,CdB,03/07/2013
177076,ABC / RN,CdB,03/07/2013
303030,ABC / RN,CdB,03/07/2013
291843,ABC / RN,CdB,03/07/2013
149998,ABC / RN,CdB,03/07/2013
177455,ABC / RN,CdB,03/07/2013
176416,ABC / RN,CdB,03/07/2013
187085,ABC / RN,CdB,03/07/2013
